[bwa_index] Pack FASTA... 202.57 sec
[bwa_index] Construct BWT for the packed sequence...
[BWTIncCreate] textLength=44208418128, availableWord=3122667456
[BWTIncConstructFromPacked] 10 iterations done. 100000000 characters processed.
[BWTIncConstructFromPacked] 20 iterations done. 200000000 characters processed.
[BWTIncConstructFromPacked] 30 iterations done. 300000000 characters processed.
[BWTIncConstructFromPacked] 40 iterations done. 400000000 characters processed.
[BWTIncConstructFromPacked] 50 iterations done. 500000000 characters processed.
[BWTIncConstructFromPacked] 60 iterations done. 600000000 characters processed.
[BWTIncConstructFromPacked] 70 iterations done. 700000000 characters processed.
[BWTIncConstructFromPacked] 80 iterations done. 800000000 characters processed.
[BWTIncConstructFromPacked] 90 iterations done. 900000000 characters processed.
[BWTIncConstructFromPacked] 100 iterations done. 1000000000 characters processed.
[BWTIncConstructFromPacked] 110 iterations done. 1100000000 characters processed.
[BWTIncConstructFromPacked] 120 iterations done. 1200000000 characters processed.
[BWTIncConstructFromPacked] 130 iterations done. 1300000000 characters processed.
[BWTIncConstructFromPacked] 140 iterations done. 1400000000 characters processed.
[BWTIncConstructFromPacked] 150 iterations done. 1500000000 characters processed.
[BWTIncConstructFromPacked] 160 iterations done. 1600000000 characters processed.
[BWTIncConstructFromPacked] 170 iterations done. 1700000000 characters processed.
[BWTIncConstructFromPacked] 180 iterations done. 1800000000 characters processed.
[BWTIncConstructFromPacked] 190 iterations done. 1900000000 characters processed.
[BWTIncConstructFromPacked] 200 iterations done. 2000000000 characters processed.
[BWTIncConstructFromPacked] 210 iterations done. 2100000000 characters processed.
[BWTIncConstructFromPacked] 220 iterations done. 2200000000 characters processed.
[BWTIncConstructFromPacked] 230 iterations done. 2300000000 characters processed.
[BWTIncConstructFromPacked] 240 iterations done. 2400000000 characters processed.
[BWTIncConstructFromPacked] 250 iterations done. 2500000000 characters processed.
[BWTIncConstructFromPacked] 260 iterations done. 2600000000 characters processed.
[BWTIncConstructFromPacked] 270 iterations done. 2700000000 characters processed.
[BWTIncConstructFromPacked] 280 iterations done. 2800000000 characters processed.
[BWTIncConstructFromPacked] 290 iterations done. 2900000000 characters processed.
[BWTIncConstructFromPacked] 300 iterations done. 3000000000 characters processed.
[BWTIncConstructFromPacked] 310 iterations done. 3100000000 characters processed.
[BWTIncConstructFromPacked] 320 iterations done. 3200000000 characters processed.
[BWTIncConstructFromPacked] 330 iterations done. 3300000000 characters processed.
[BWTIncConstructFromPacked] 340 iterations done. 3400000000 characters processed.
[BWTIncConstructFromPacked] 350 iterations done. 3500000000 characters processed.
[BWTIncConstructFromPacked] 360 iterations done. 3600000000 characters processed.
[BWTIncConstructFromPacked] 370 iterations done. 3700000000 characters processed.
[BWTIncConstructFromPacked] 380 iterations done. 3800000000 characters processed.
[BWTIncConstructFromPacked] 390 iterations done. 3900000000 characters processed.
[BWTIncConstructFromPacked] 400 iterations done. 4000000000 characters processed.
[BWTIncConstructFromPacked] 410 iterations done. 4100000000 characters processed.
[BWTIncConstructFromPacked] 420 iterations done. 4200000000 characters processed.
[BWTIncConstructFromPacked] 430 iterations done. 4300000000 characters processed.
[BWTIncConstructFromPacked] 440 iterations done. 4400000000 characters processed.
[BWTIncConstructFromPacked] 450 iterations done. 4500000000 characters processed.
[BWTIncConstructFromPacked] 460 iterations done. 4600000000 characters processed.
[BWTIncConstructFromPacked] 470 iterations done. 4700000000 characters processed.
[BWTIncConstructFromPacked] 480 iterations done. 4800000000 characters processed.
[BWTIncConstructFromPacked] 490 iterations done. 4900000000 characters processed.
[BWTIncConstructFromPacked] 500 iterations done. 5000000000 characters processed.
[BWTIncConstructFromPacked] 510 iterations done. 5100000000 characters processed.
[BWTIncConstructFromPacked] 520 iterations done. 5200000000 characters processed.
[BWTIncConstructFromPacked] 530 iterations done. 5300000000 characters processed.
[BWTIncConstructFromPacked] 540 iterations done. 5400000000 characters processed.
[BWTIncConstructFromPacked] 550 iterations done. 5500000000 characters processed.
[BWTIncConstructFromPacked] 560 iterations done. 5600000000 characters processed.
[BWTIncConstructFromPacked] 570 iterations done. 5700000000 characters processed.
[BWTIncConstructFromPacked] 580 iterations done. 5800000000 characters processed.
[BWTIncConstructFromPacked] 590 iterations done. 5900000000 characters processed.
[BWTIncConstructFromPacked] 600 iterations done. 6000000000 characters processed.
[BWTIncConstructFromPacked] 610 iterations done. 6100000000 characters processed.
[BWTIncConstructFromPacked] 620 iterations done. 6200000000 characters processed.
[BWTIncConstructFromPacked] 630 iterations done. 6300000000 characters processed.
[BWTIncConstructFromPacked] 640 iterations done. 6400000000 characters processed.
[BWTIncConstructFromPacked] 650 iterations done. 6500000000 characters processed.
[BWTIncConstructFromPacked] 660 iterations done. 6600000000 characters processed.
[BWTIncConstructFromPacked] 670 iterations done. 6700000000 characters processed.
[BWTIncConstructFromPacked] 680 iterations done. 6800000000 characters processed.
[BWTIncConstructFromPacked] 690 iterations done. 6900000000 characters processed.
[BWTIncConstructFromPacked] 700 iterations done. 7000000000 characters processed.
[BWTIncConstructFromPacked] 710 iterations done. 7100000000 characters processed.
[BWTIncConstructFromPacked] 720 iterations done. 7200000000 characters processed.
[BWTIncConstructFromPacked] 730 iterations done. 7300000000 characters processed.
[BWTIncConstructFromPacked] 740 iterations done. 7400000000 characters processed.
[BWTIncConstructFromPacked] 750 iterations done. 7500000000 characters processed.
[BWTIncConstructFromPacked] 760 iterations done. 7600000000 characters processed.
[BWTIncConstructFromPacked] 770 iterations done. 7700000000 characters processed.
[BWTIncConstructFromPacked] 780 iterations done. 7800000000 characters processed.
[BWTIncConstructFromPacked] 790 iterations done. 7900000000 characters processed.
[BWTIncConstructFromPacked] 800 iterations done. 8000000000 characters processed.
[BWTIncConstructFromPacked] 810 iterations done. 8100000000 characters processed.
[BWTIncConstructFromPacked] 820 iterations done. 8200000000 characters processed.
[BWTIncConstructFromPacked] 830 iterations done. 8300000000 characters processed.
[BWTIncConstructFromPacked] 840 iterations done. 8400000000 characters processed.
[BWTIncConstructFromPacked] 850 iterations done. 8500000000 characters processed.
[BWTIncConstructFromPacked] 860 iterations done. 8600000000 characters processed.
[BWTIncConstructFromPacked] 870 iterations done. 8700000000 characters processed.
[BWTIncConstructFromPacked] 880 iterations done. 8800000000 characters processed.
[BWTIncConstructFromPacked] 890 iterations done. 8900000000 characters processed.
[BWTIncConstructFromPacked] 900 iterations done. 9000000000 characters processed.
[BWTIncConstructFromPacked] 910 iterations done. 9100000000 characters processed.
[BWTIncConstructFromPacked] 920 iterations done. 9200000000 characters processed.
[BWTIncConstructFromPacked] 930 iterations done. 9300000000 characters processed.
[BWTIncConstructFromPacked] 940 iterations done. 9400000000 characters processed.
[BWTIncConstructFromPacked] 950 iterations done. 9500000000 characters processed.
[BWTIncConstructFromPacked] 960 iterations done. 9600000000 characters processed.
[BWTIncConstructFromPacked] 970 iterations done. 9700000000 characters processed.
[BWTIncConstructFromPacked] 980 iterations done. 9800000000 characters processed.
[BWTIncConstructFromPacked] 990 iterations done. 9900000000 characters processed.
[BWTIncConstructFromPacked] 1000 iterations done. 10000000000 characters processed.
[BWTIncConstructFromPacked] 1010 iterations done. 10100000000 characters processed.
[BWTIncConstructFromPacked] 1020 iterations done. 10200000000 characters processed.
[BWTIncConstructFromPacked] 1030 iterations done. 10300000000 characters processed.
[BWTIncConstructFromPacked] 1040 iterations done. 10400000000 characters processed.
[BWTIncConstructFromPacked] 1050 iterations done. 10500000000 characters processed.
[BWTIncConstructFromPacked] 1060 iterations done. 10600000000 characters processed.
[BWTIncConstructFromPacked] 1070 iterations done. 10700000000 characters processed.
[BWTIncConstructFromPacked] 1080 iterations done. 10800000000 characters processed.
[BWTIncConstructFromPacked] 1090 iterations done. 10900000000 characters processed.
[BWTIncConstructFromPacked] 1100 iterations done. 11000000000 characters processed.
[BWTIncConstructFromPacked] 1110 iterations done. 11100000000 characters processed.
[BWTIncConstructFromPacked] 1120 iterations done. 11200000000 characters processed.
[BWTIncConstructFromPacked] 1130 iterations done. 11300000000 characters processed.
[BWTIncConstructFromPacked] 1140 iterations done. 11400000000 characters processed.
[BWTIncConstructFromPacked] 1150 iterations done. 11500000000 characters processed.
[BWTIncConstructFromPacked] 1160 iterations done. 11600000000 characters processed.
[BWTIncConstructFromPacked] 1170 iterations done. 11700000000 characters processed.
[BWTIncConstructFromPacked] 1180 iterations done. 11800000000 characters processed.
[BWTIncConstructFromPacked] 1190 iterations done. 11900000000 characters processed.
[BWTIncConstructFromPacked] 1200 iterations done. 12000000000 characters processed.
[BWTIncConstructFromPacked] 1210 iterations done. 12100000000 characters processed.
[BWTIncConstructFromPacked] 1220 iterations done. 12200000000 characters processed.
[BWTIncConstructFromPacked] 1230 iterations done. 12300000000 characters processed.
[BWTIncConstructFromPacked] 1240 iterations done. 12400000000 characters processed.
[BWTIncConstructFromPacked] 1250 iterations done. 12500000000 characters processed.
[BWTIncConstructFromPacked] 1260 iterations done. 12600000000 characters processed.
[BWTIncConstructFromPacked] 1270 iterations done. 12700000000 characters processed.
[BWTIncConstructFromPacked] 1280 iterations done. 12800000000 characters processed.
[BWTIncConstructFromPacked] 1290 iterations done. 12900000000 characters processed.
[BWTIncConstructFromPacked] 1300 iterations done. 13000000000 characters processed.
[BWTIncConstructFromPacked] 1310 iterations done. 13100000000 characters processed.
[BWTIncConstructFromPacked] 1320 iterations done. 13200000000 characters processed.
[BWTIncConstructFromPacked] 1330 iterations done. 13300000000 characters processed.
[BWTIncConstructFromPacked] 1340 iterations done. 13400000000 characters processed.
[BWTIncConstructFromPacked] 1350 iterations done. 13500000000 characters processed.
[BWTIncConstructFromPacked] 1360 iterations done. 13600000000 characters processed.
[BWTIncConstructFromPacked] 1370 iterations done. 13700000000 characters processed.
[BWTIncConstructFromPacked] 1380 iterations done. 13800000000 characters processed.
[BWTIncConstructFromPacked] 1390 iterations done. 13900000000 characters processed.
[BWTIncConstructFromPacked] 1400 iterations done. 14000000000 characters processed.
[BWTIncConstructFromPacked] 1410 iterations done. 14100000000 characters processed.
[BWTIncConstructFromPacked] 1420 iterations done. 14200000000 characters processed.
[BWTIncConstructFromPacked] 1430 iterations done. 14300000000 characters processed.
[BWTIncConstructFromPacked] 1440 iterations done. 14400000000 characters processed.
[BWTIncConstructFromPacked] 1450 iterations done. 14500000000 characters processed.
[BWTIncConstructFromPacked] 1460 iterations done. 14600000000 characters processed.
